file,maxRunNumber,minRunNumber,kp1,kp2,kp3,kp4,kp5
o2-pid-tpc-Response_1659521588054.root,302054,302504,0.0379117,22.5302,6.87731e-11,2.27008,3.11766
o2-pid-tpc-Response_1659522242406.root,285447,284706,0.0393139,19.4774,1.16832e-10,2.41813,3.59103
o2-pid-tpc-Response_1661764200305.root,302055,302019,0.0367687,22.1938,4.29182e-10,2.34444,3.35889
o2-pid-tpc-Response_1665068503898.root,523559,523559,0.151664,5.03039,0.00209905,2.47833,1.33775
o2-pid-tpc-Response_1675951737090.root,517767,517619,0.134043,5.99086,0.00130183,2.37696,1.33119
o2-pid-tpc-Response_1675954796473.root,518547,518541,0.145337,5.61434,0.00182200,2.35390,1.20008
o2-pid-tpc-Response_1675954935088.root,519906,519041,0.160300,5.24258,0.00218534,2.30205,0.984812
o2-pid-tpc-Response_1675955037207.root,520473,520259,0.157614,5.26910,0.00244891,2.31991,1.10411
o2-pid-tpc-Response_1675955141359.root,523897,523141,0.155634,5.04007,0.00222759,2.40256,1.16306
o2-pid-tpc-Response_1675955417925.root,528105,526647,0.154298,5.25502,0.00288075,2.39667,1.22447
o2-pid-tpc-Response_1675955447543.root,528801,528597,0.144604,5.39234,0.00182869,2.44307,1.27417
o2-pid-tpc-Response_1675955470767.root,529043,528991,0.161504,5.10593,0.00243025,2.38076,1.16665
o2-pid-tpc-Response_1675955497465.root,529341,529066,0.152054,5.53422,0.00133603,2.33068,1.05915
o2-pid-tpc-Response_1675955524578.root,529418,529397,0.169158,5.00212,0.00212529,2.38736,1.02675
o2-pid-tpc-Response_1675955544357.root,529691,529450,0.150017,4.94555,0.00169019,2.50330,1.33290